Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Station,Switch,Underground,Railroad Crossing,ELEVATION (M),CUMALTIVE ELEVATION (M),Switch Block One,Switch Block Two,Arrow Direction,Station Side
Green,I,47,50,0,70,,,TRUE,,0,0,,,,
Green,I,48,50,0,70,INGLEWOOD,,TRUE,,0,0,,,,right
Green,I,49,50,0,70,,,TRUE,,0,0,,,,
Green,I,50,50,0,70,,,TRUE,,0,0,,,,
Green,I,51,50,0,70,,,TRUE,,0,0,,,,
Green,I,52,50,0,70,,,TRUE,,0,0,,,,
Green,I,53,50,0,70,,,TRUE,,0,0,,,,
Green,I,54,50,0,70,,,TRUE,,0,0,,,,
Green,I,55,50,0,70,,,TRUE,,0,0,,,,
Green,I,56,50,0,70,,,TRUE,,0,0,,,,
Green,I,57,50,0,70,OVERBROOK,TO YARD,TRUE,,0,0,58,151,Head,right
Green,J,58,50,0,60,,,,,0,0,,,Tail,
Green,J,59,50,0,60,,,,,0,0,,,,
Green,J,60,50,0,60,,,,,0,0,,,,
Green,J,61,50,0,60,,,,,0,0,,,,
Green,J,62,50,0,60,,FROM YARD,,,0,0,61,152,Head,
Green,K,63,100,0,70,,,,,0,0,,,Tail,
Green,K,64,100,0,70,,,,,0,0,,,,
Green,K,65,200,0,70,GLENBURY,,,,0,0,,,,right
Green,K,66,200,0,70,,,,,0,0,,,,
Green,K,67,100,0,70,,,,,0,0,,,,
Green,K,68,100,0,70,,,,,0,0,,,Head,
Green,L,69,100,0,60,,,,,0,0,,,Tail,
Green,L,70,100,0,60,,,,,0,0,,,,
Green,L,71,100,0,60,,,,,0,0,,,,
Green,L,72,100,0,60,,,,,0,0,,,,
Green,L,73,100,0,60,DORMONT,,,,0,0,,,Head,right
Green,M,74,100,0,60,,,,,0,0,,,Tail,
Green,M,75,100,0,60,,,,,0,0,,,,
Green,M,76,100,0,60,,,,,0,0,,,Head,
Green,N,77,300,0,70,MT LEBANON,TRUE,,,0,0,76,101,Head,right
Green,N,78,300,0,70,,,,,0,0,,,,
Green,N,79,300,0,70,,,,,0,0,,,,
Green,N,80,300,0,70,,,,,0,0,,,,
Green,N,81,300,0,70,,,,,0,0,,,,
Green,N,82,300,0,70,,,,,0,0,,,,
Green,N,83,300,0,70,,,,,0,0,,,,
Green,N,84,300,0,70,,,,,0,0,,,,
Green,N,85,300,0,70,,TRUE,,,0,0,86,100,Head,
Green,O,86,100,0,55,,,,,0,0,,,Tail,
Green,O,87,86.6,0,55,,,,,0,0,,,,
Green,O,88,100,0,55,POPLAR,,,,0,0,,,Head,right
Green,P,89,75,-0.5,55,,,,,-0.375,-0.375,,,Tail,
Green,P,90,75,-1,55,,,,,-0.75,-1.125,,,,
Green,P,91,75,-2,55,,,,,-1.5,-2.625,,,,
Green,P,92,75,0,55,,,,,0,-2.625,,,,
Green,P,93,75,2,55,,,,,1.5,-1.125,,,,
Green,P,94,75,1,55,,,,,0.75,-0.375,,,,
Green,P,95,75,0.5,55,,,,,0.375,0,,,,
Green,P,96,75,0,55,CASTLE SHANNON,,,,0,0,,,,left
Green,P,97,75,0,55,,,,,0,0,,,Head,
Green,Q,98,75,0,55,,,,,0,0,,,Tail,
Green,Q,99,75,0,55,,,,,0,0,,,,
Green,Q,100,75,0,55,,,,,0,0,,,Head,
Green,R,101,35,0,55,,,,,0,0,,,Tail/Head,
Green,S,102,100,0,60,,,,,0,0,,,Tail,
Green,S,103,100,0,60,,,,,0,0,,,,
Green,S,104,80,0,60,,,,,0,0,,,Head,
Green,T,105,100,0,60,DORMONT,,,,0,0,,,Tail,right
Green,T,106,100,0,60,,,,,0,0,,,,
Green,T,107,90,0,60,,,,,0,0,,,,
Green,T,108,100,0,60,,,,,0,0,,,,
Green,T,109,100,0,60,,,,,0,0,,,Head,
Green,U,110,100,0,70,,,,,0,0,,,Tail,
Green,U,111,100,0,70,,,,,0,0,,,,
Green,U,112,100,0,70,,,,,0,0,,,,
Green,U,113,100,0,70,,,,,0,0,,,,
Green,U,114,100,0,70,GLENBURY,,,,0,0,,,,right
Green,U,115,100,0,70,,,,,0,0,,,,
Green,U,116,100,0,70,,,,,0,0,,,Head,
Green,V,117,50,0,60,,,,,0,0,,,Tail,
Green,V,118,50,0,60,,,,,0,0,,,,
Green,V,119,40,0,60,,,,,0,0,,,,
Green,V,120,50,0,60,,,,,0,0,,,,
Green,V,121,50,0,60,,,,,0,0,,,Head,
Green,W,122,50,0,70,,,TRUE,,0,0,,,Tail,
Green,W,123,50,0,70,OVERBROOK,,,,0,0,,,,right
Green,W,124,50,0,70,,,TRUE,,0,0,,,,
Green,W,125,50,0,70,,,TRUE,,0,0,,,,
Green,W,126,50,0,70,,,TRUE,,0,0,,,,
Green,W,127,50,0,70,,,TRUE,,0,0,,,,
Green,W,128,50,0,70,,,TRUE,,0,0,,,,
Green,W,129,50,0,70,,,TRUE,,0,0,,,,
Green,W,130,50,0,70,,,TRUE,,0,0,,,,
Green,W,131,50,0,70,,,TRUE,,0,0,,,,
Green,W,132,50,0,70,INGLEWOOD,,,,0,0,,,,right
Green,W,133,50,0,70,,,TRUE,,0,0,,,,
Green,W,134,50,0,70,,,TRUE,,0,0,,,,
Green,W,135,50,0,70,,,TRUE,,0,0,,,,
Green,W,136,50,0,70,,,TRUE,,0,0,,,,
Green,W,137,50,0,70,,,TRUE,,0,0,,,,
Green,W,138,50,0,70,,,TRUE,,0,0,,,,
Green,W,139,50,0,70,,,TRUE,,0,0,,,,
Green,W,140,50,0,70,,,TRUE,,0,0,,,,
Green,W,141,50,0,70,CENTRAL,,,,0,0,,,,right
Green,W,142,50,0,70,,,TRUE,,0,0,,,,
Green,W,143,50,0,70,,,TRUE,,0,0,,,Head,
Green,X,144,50,0,70,,,,,0,0,,,Tail,
Green,X,145,50,0,70,,,,,0,0,,,,
Green,X,146,50,0,70,,,,,0,0,,,Head,
Green,Y,147,50,0,70,,,,,0,0,,,Tail,
Green,Y,148,40,0,70,,,,,0,0,,,,
Green,Y,149,40,0,70,,,,,0,0,,,Head,
Green,Z,150,35,0,70,,,,,0,0,,,Tail/Head,
Green,ZZ,151,50,0,35,,,,,0,0,,,Tail/Head,
Green,YY,152,50,0,35,,,,,0,0,,,Tail/Head,
